Global Sıra,İlçe,Klinik Adı,Mahalle,Adres,Telefon,Yorum Sayısı,Puan,Tip/Özellik,Eve Kuş Uçuşu (km),Ziyaret Tarihi,Temsilci,Görüşülen Hekim,Durum,Sipariş,Notlar
470,Çankaya-B Çukurambar/Balgat,Dr. Dt. Berna Turgut,,"Balgat, Mevlana Blv. 1422. Sk. No:4",,2,3.0,,15.2,,,,,,
471,Çankaya-B Çukurambar/Balgat,Uzm. Dt. Funda Özsarı,,"Kızılırmak, Mevlana Blv. No:16 D:1 Kat:1 (Hayat Plaza)",0543 902 28 44,194,4.9,UZMAN,15.2,,,,,,
472,Çankaya-B Çukurambar/Balgat,Uzm. Dt. Ayşe Karademir Göçeroğlu (Pedodonti),,"Kızılırmak, 1450. Sk. No:16/2 (Hayat Plaza)",0533 575 03 30,186,5.0,UZMAN (Pedodonti),15.3,,,,,,
473,Çankaya-B Çukurambar/Balgat,DentErs ADSP (Erman Ersöz),,"Kızılırmak, Mevlana Blv. 150/A D:12",,58,4.8,,15.3,,,,,,
474,Çankaya-B Çukurambar/Balgat,Smile Art ADSP,,"Kızılırmak, 1450. Sk. No:3/2",0544 100 44 74,33,4.6,,15.3,,,,,,
475,Çankaya-B Çukurambar/Balgat,Diş Hekimi Gonca Keleş,,"Çukurambar, 1450. Sk. No:1/1 (Ankara Ticaret Merkezi B Blok)",0312 285 85 22,23,4.8,,15.3,,,,,,
476,Çankaya-B Çukurambar/Balgat,synergy clinical,,"Kızılırmak, 1450 Sk B blok Kat:15 No:72",0312 287 44 44,87,4.8,,15.3,,,,,,
477,Çankaya-B Çukurambar/Balgat,UZM.DT. Gözde Özcan (Estetik),,"Çukurambar, Muhsin Yazıcıoğlu Cd. Yonca Apt No:33/28",0553 606 26 06,93,5.0,UZMAN,15.2,,,,,,
478,Çankaya-B Çukurambar/Balgat,Linadent ADSP,,"Kızılırmak, Muhsin Yazıcıoğlu Cd. 39/A No:103 Protokol Kule Kat:17",0312 468 14 44,37,4.9,,15.3,,,,,,
479,Çankaya-B Çukurambar/Balgat,Dr. Dt. Füsun Türkyılmaz (Ortodonti/Linadent),,"Kızılırmak, Muhsin Yazıcıoğlu Cd. Protokol Kule D:17 No:103",0312 468 14 44,158,5.0,HOT LEAD (Uzm.),15.3,,,,,,
480,Çankaya-B Çukurambar/Balgat,Candent Çukurambar,,"Çukurambar, 1464. Sk. Ebru Apt No:5/A",0530 889 54 13,75,4.9,,15,,,,,,
481,Çankaya-B Çukurambar/Balgat,Dişhekimi Alkan Dinç,,"İşçi Blokları, 100. Yıl İşçi Blokları No:9 D:1",0312 285 68 38,5,4.2,,15.2,,,,,,
482,Çankaya-B Çukurambar/Balgat,Diş Hekimi Bedri Erim,,"100. Yıl, Hasan Celal Güzel Cd. 11/1",0312 286 14 36,21,4.4,,15.2,,,,,,
483,Çankaya-B Çukurambar/Balgat,Dentangora 100. Yıl Şubesi,,"İşçi Blokları, Ali Metin Tokdemir Cd. No:60",0444 6260,313,4.8,HOT LEAD,14.8,,,,,,
484,Çankaya-B Çukurambar/Balgat,Tülay Şener,,"İşçi Blokları, 1536. Sk. Gül Apt No:1/3",0312 430 31 20,2,5.0,,14.7,,,,,,
485,Çankaya-B Çukurambar/Balgat,Özel Dentalika ADSP,,"Çukurambar, 1425. Cd. No:13/I",0541 132 00 06,151,4.8,,14.6,,,,,,
486,Çankaya-B Çukurambar/Balgat,Uzm. Dt. Müberra Güney,,"Çukurambar, 1425. Cd. 1434. Sk. No:1/C",0505 909 04 75,6,5.0,UZMAN,14.9,,,,,,
487,Çankaya-B Çukurambar/Balgat,Cevher Dent ADSP,,"Kızılırmak, 1425. Cd. 1434. Sk. No:1/C",0542 342 89 22,182,4.9,,14.9,,,,,,
488,Çankaya-B Çukurambar/Balgat,Uzm. Dt. Zeynep Karakoç Şen (Ortodonti),,"Kızılırmak, 1425. Cd. 1434. Sk. No:1/C (CevherDent)",0312 431 10 41,268,4.9,HOT LEAD (Uzm.),14.9,,,,,,
489,Çankaya-B Çukurambar/Balgat,Ze Dent Dental Clinic,,"Kızılırmak, 1425. Cd. 1434. Sk. No:1/D",0507 886 06 00,53,4.7,,14.9,,,,,,
490,Çankaya-B Çukurambar/Balgat,Ankara Dentalis ADSP,,"Çukurambar, 1426. Cd. No:24/B",0312 286 31 31,203,4.7,HOT LEAD,14.9,,,,,,
491,Çankaya-B Çukurambar/Balgat,LUNA DENTAL ADSP,,"Kızılırmak, Yücel Seçkiner Cd. (eski 1426. Cd.) No:30/A",0546 287 10 87,142,4.9,,14.8,,,,,,
492,Çankaya-B Çukurambar/Balgat,Uzm. Dr. Dt. Eren Yıldırım,,"Çukurambar, Yücel Seçkiner Cd. (eski 1426. Cd.) No:30/A",0850 474 1773,39,4.9,UZMAN,14.8,,,,,,
493,Çankaya-B Çukurambar/Balgat,Dr. Dt. Özge Aktaş Özçıkrıkcı,,"Çukurambar, Muhsin Yazıcıoğlu Cd. 1436. Sk. No:1/8",0530 203 52 33,19,4.8,,14.8,,,,,,
494,Çankaya-B Çukurambar/Balgat,Dt. Leyla Yüksel Sofuoğlu,,"Kızılırmak, Muhsin Yazıcıoğlu Cd. 1436. Sk. No:1 D:8",,20,5.0,,14.8,,,,,,
495,Çankaya-B Çukurambar/Balgat,ConceptDent Çukurambar (Nova Tower),,"Kızılırmak, Muhsin Yazıcıoğlu Cd. 17/5 Nova Tower",0312 284 66 11,91,4.6,,14.9,,,,,,
496,Çankaya-B Çukurambar/Balgat,ConceptDent ADSM Çukurambar Şubesi,,"Kızılırmak, Muhsin Yazıcıoğlu Cd. 17/5 Nova Tower",0312 284 66 11,91,4.6,,14.9,,,,,,
497,Çankaya-B Çukurambar/Balgat,Diş Hekimi Elşen Yusufoğlu,,"Çukurambar, Muhsin Yazıcıoğlu Cd. No:15 D:1",0552 730 80 79,107,5.0,,14.9,,,,,,
498,Çankaya-B Çukurambar/Balgat,Dr. Dt. Yasemin Türkdönmez (Ortodonti),,"Kızılırmak, 1443. Cd. 1071 Plaza B Blok Kat:27 No:174",0532 579 12 64,76,4.9,UZMAN,14.8,,,,,,
499,Çankaya-B Çukurambar/Balgat,Diş Hekimi Özkan Altun,,"Çukurambar, 1443. Cd. No:25 B D:48 (1071 Usta Plaza)",0552 235 06 06,61,5.0,,14.8,,,,,,
500,Çankaya-B Çukurambar/Balgat,Perspektif ADSP,,"Kızılırmak, 1443. Cd. 25C D:7",0552 616 80 66,41,5.0,,14.8,,,,,,
501,Çankaya-B Çukurambar/Balgat,Dr. Dt. Rahşan Atasoy Şentürk (Periodontoloji),,"Çukurambar, 1443. Cd. No:25 1071 Usta Plaza B Blok Kat:2 No:15",0501 321 90 91,29,5.0,UZMAN (Periodontoloji),14.8,,,,,,
502,Çankaya-B Çukurambar/Balgat,Dr. Dt. Derya Özen,,"Kızılırmak, 1443. Cd. 25/C-7 1071 Usta Plaza C Blok",0552 616 80 66,17,5.0,,14.8,,,,,,
503,Çankaya-B Çukurambar/Balgat,SimyaDent ADSP,,"Kızılırmak, 1443. Cd. 25A 1071 Usta Plaza A Blok D:44",0312 543 56 00,442,5.0,MEGA LEAD,14.8,,,,,,
504,Çankaya-B Çukurambar/Balgat,Ada Dent Diş Kliniği (Paragon),,"Kızılırmak, 1445. Sk. No:2 D:11 K (Paragon Tower)",0312 432 24 44,105,4.3,,14.8,,,,,,
505,Çankaya-B Çukurambar/Balgat,Dt. Emre Güneş (Ada Dent uzm),,"Kızılırmak, Ufuk Üni. Cd. Paragon İş Merkezi Kat:15 D:78",0541 432 24 44,15,5.0,,14.7,,,,,,
506,Çankaya-B Çukurambar/Balgat,"Doç. Dr. Elif Öncü (Panorama, Periodontoloji Uzm.)",,"Kızılırmak, 1445 Sk. The Paragon Tower No:2/1 K:26 No:131",0532 381 12 84,13,5.0,UZMAN (Periodontoloji),14.7,,,,,,
507,Çankaya-B Çukurambar/Balgat,Panorama Ankara ADSP,,"Kızılırmak, 1445. Sk. No:2 D:1 Kat:26 (Paragon Tower)",0312 220 50 00,159,5.0,HOT LEAD,14.8,,,,,,
508,Çankaya-B Çukurambar/Balgat,Aden Ankara ADSP (Paragon),,"Kızılırmak, 1445. Sk. No:2/9 Paragon Tower zemin kat",0312 284 84 88,102,5.0,,14.8,,,,,,
509,Çankaya-B Çukurambar/Balgat,Deha ADSM,,"Kızılırmak, Ufuk Üni. Cd. No:7/4",0554 361 97 35,2,3.0,,14.6,,,,,,
510,Çankaya-B Çukurambar/Balgat,Dr. Dt. Seda Deniz Kalkan (Çene Cer.),,"Kızılırmak, 1441. Cd. Mercan Apt No:5/13",0312 287 56 70,625,5.0,MEGA LEAD (Uzm.),14.6,,,,,,
511,Çankaya-B Çukurambar/Balgat,Çocuk Diş Hekimi Dr. Nurgül Demir (Pedodonti),,"Kızılırmak, Ufuk Üni. Cd. Arma Kule No:11 Kat:11-12 D:38",0532 331 85 88,43,4.9,UZMAN (Pedodonti),14.6,,,,,,
512,Çankaya-B Çukurambar/Balgat,Dr. Dt. Aybike Düzgün (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. A3 Blok 8. Kat No:312",0312 544 08 07,56,4.8,,14.4,,,,,,
513,Çankaya-B Çukurambar/Balgat,"Dr. Zeynep Yetkin (Ortodonti, YDA)",,"Kızılırmak, YDA Center, Dumlupınar Blv. 9A A1 Blok 17. Kat D:701",0532 742 30 51,215,4.9,HOT LEAD (Uzm.),14.4,,,,,,
514,Çankaya-B Çukurambar/Balgat,Yetkin Dent Diş Kliniği,,"Kızılırmak, YDA Center, Eskişehir Yolu A1 Blok 17. Kat No:701",0501 101 17 17,99,4.9,,14.4,,,,,,
515,Çankaya-B Çukurambar/Balgat,Sueri Dent (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. 9A Kat:4 D:102",0312 430 40 63,3,5.0,,14.4,,,,,,
516,Çankaya-B Çukurambar/Balgat,Dr. Betül Kökdoğan (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. 9A/414 Kat:10",0501 277 20 22,68,4.9,,14.4,,,,,,
517,Çankaya-B Çukurambar/Balgat,Yılmaz Kıran (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. 9A Kat:3 No:72 A2",0544 228 54 83,34,4.8,,14.4,,,,,,
518,Çankaya-B Çukurambar/Balgat,Hakan Saylam Diş Muayenehanesi,,"Kızılırmak, YDA Center, Dumlupınar Blv. A2 Blok Kat:12 No:507",0312 502 02 30,62,4.8,,14.3,,,,,,
519,Çankaya-B Çukurambar/Balgat,MDA Diş Polikliniği,,"Kızılırmak, YDA Center, Dumlupınar Blv. 9 A1 Blok Kat:12 D:512",0530 525 77 05,146,5.0,HOT LEAD,14.3,,,,,,
520,Çankaya-B Çukurambar/Balgat,Dr. Mehmet Askar (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. 9A D:714 Kat:18",0530 179 53 10,18,5.0,,14.3,,,,,,
521,Çankaya-B Çukurambar/Balgat,Dr. Dt. Abdullah Ceylan (YDA),,"Kızılırmak, YDA Center, Dumlupınar Blv. 9/A-580",0850 811 8396,33,4.9,,14.3,,,,,,
522,Yenimahalle,Flydent ADSP ⭐,Beştepe,Nergiz Sk 7A 56,0312 219 30 10,355,4.9,Özel - Büyük,14.2,,,,,,
523,Yenimahalle,Prof.Dr. Burak Demiralp (Zenith içi),Beştepe,Neorama İş Merkezi (Zenith içinde),0532 452 68 75,0,0,Özel - Uzman (Prof.Dr.),14,,,,,,
524,Yenimahalle,Elif Zaimoğlu Gültepe (Ortodonti),Beştepe,Yaşam Cd Adalet Sk Neorama 13/A Kat:3 D:6,0530 387 97 89,61,4.8,Özel - Uzman (Ortodonti),14,,,,,,
525,Yenimahalle,Uzm.Dt. Ela Çabuk Renklibay ⭐,Beştepe,Neorama Yaşam Cd 13A Kat:7 D:30,0530 556 16 52,216,4.8,Özel - Büyük (Uzman),14,,,,,,
526,Yenimahalle,Znth Dental Center,Söğütözü,Beştepe Yaşam Cd Neorama Adalet Sk 5/B,0544 493 64 84,111,4.9,Özel - Orta,13.9,,,,,,
527,Çankaya-B Çukurambar/Balgat,Özel Etna ADSP,,"Söğütözü, Koç Kuleleri",0312 502 45 47,9,5.0,,13.9,,,,,,
528,Çankaya-B Çukurambar/Balgat,Dr. Cengiz Ankara Ortodonti,,"Söğütözü, Söğütözü Cd. No:2 Koç İkiz Kuleleri A Blok No:53",0537 456 32 03,138,5.0,UZMAN (Ortodonti),13.9,,,,,,
529,Çankaya-B Çukurambar/Balgat,Alindent ADSP,,"Çukurambar, Muhsin Yazıcıoğlu Cd. No:8/1",0312 222 40 42,21,4.8,,14.4,,,,,,
530,Çankaya-B Çukurambar/Balgat,Özel Çukurambar Küp ADSP,,"Çukurambar, 1424. Cd. No:6/2",0532 684 10 06,21,5.0,,14.3,,,,,,
531,Çankaya-B Çukurambar/Balgat,Karedent ADSM Söğütözü,,"Söğütözü, Dumlupınar Blv. No:94/C",0312 425 44 90,108,4.7,,13.6,,,,,,
532,Çankaya-B Çukurambar/Balgat,Promde Dental Clinic,,"Söğütözü, 2176. Sk. No:7",0312 444 31 66,3,5.0,,13.4,,,,,,
533,Çankaya-B Çukurambar/Balgat,A Clinica Dent ADSP,,"Mustafa Kemal, Eskişehir Yolu 7.km Cepa Ofis Kule 2123. Sk 2/D Kat:10",0312 557 83 84,235,4.8,HOT LEAD,12.1,,,,,,
534,Çankaya-B Çukurambar/Balgat,BD Dental Klinik,,"Mustafa Kemal, 2150. Sk. 5/A",0312 543 57 77,157,5.0,HOT LEAD,11.8,,,,,,
535,Çankaya-B Çukurambar/Balgat,Uzm. Dr. Dt. Ali Emre Zeren (Pedodonti),,"Mustafa Kemal, 2156. Sk. No:8/3",0850 811 7844,65,4.9,UZMAN (Pedodonti),11.8,,,,,,
536,Çankaya-B Çukurambar/Balgat,DentAnest Plus ADSM,,"Mustafa Kemal, 2131. Sk. No:24 D:14",0312 472 06 48,359,4.8,HOT LEAD (Sedasyon),11.5,,,,,,
537,Çankaya-B Çukurambar/Balgat,Uzm.Dt. Harun Türkay Muayenehanesi,,"Mustafa Kemal, 2127. Cd 34/2",0553 368 77 47,27,5.0,,11.2,,,,,,
538,Çankaya-B Çukurambar/Balgat,Doç. Dr. Zekeriya Taşdemir (Gülüş Tasarımı),,"Mustafa Kemal, 2127. Cd No:11/A",0552 507 93 67,184,4.9,,11.4,,,,,,
539,Çankaya-B Çukurambar/Balgat,Dr. Dt. Serap Şimşek (Çene Cer.),,"Mustafa Kemal, Şht. Öğrt. Şenay Aybüke Yalçın Cd. No:7 D:2",0312 219 49 70,433,5.0,MEGA LEAD (Uzm.),11.4,,,,,,
540,Çankaya-B Çukurambar/Balgat,Diş Hekimi İlke İyimen,,"Mustafa Kemal, Şht. Öğrt. Şenay Aybüke Yalçın Cd. No:7 D:2",0312 219 49 94,84,5.0,,11.4,,,,,,
541,Çankaya-B Çukurambar/Balgat,Denttera ADSP (MAİDAN),,"Mustafa Kemal, Maidan İş Mrk 2118. Cad B blok No:6",0312 466 75 99,68,4.9,,11.4,,,,,,
542,Çankaya-A Batı,Dt. Emre Bal,,"Bilkent Metro, Mustafa Kemal, MAİDAN İş Merkezi A Blok Kat:11 No:121",0532 727 88 76,12,5.0,,11.4,,,,,,
543,Çankaya-A Batı,Erce Beleçoğlu Dental Clinic,,"Mustafa Kemal, MAİDAN İş Merkezi A Blok Kat:11 No:121",0532 727 88 76,87,4.9,,11.4,,,,,,
544,Çankaya-B Çukurambar/Balgat,Özel Mustafa Kemal ADSP / Implant Center,,"Mustafa Kemal, Şht. Öğretmen Şenay Aybüke Yalçın Cd. No:14 D:3",0312 503 61 51,81,4.7,,11.6,,,,,,
545,Çankaya-B Çukurambar/Balgat,Prof. Dr. Mustafa Öztürk (Çene Cer.),,"Mustafa Kemal, 2086. Sk. Barış Sitesi No:27",0533 346 27 57,30,4.5,UZMAN (Çene Cer.),10.8,,,,,,
546,Çankaya-B Çukurambar/Balgat,Özel Dentima ADSP,,"Mustafa Kemal, Dumlupınar Blv 274/6 Mahall Ankara E blok K:2 D:29",0505 276 59 06,87,5.0,,10.7,,,,,,
547,Çankaya-B Çukurambar/Balgat,Denthall Ankara Ortodonti,,"Mustafa Kemal, Mahall, Dumlupınar Blv. 274/7 B Blok No:115",0506 939 28 38,137,4.9,,10.8,,,,,,
548,Çankaya-B Çukurambar/Balgat,Pozitif Dental (Mahall),,"Mustafa Kemal, Mahall, Dumlupınar Blv. 274/7 B Blok 4. Kat No:46",0312 286 26 16,57,5.0,,10.8,,,,,,
549,Çankaya-B Çukurambar/Balgat,EOT Oral and Maxillofacial Clinic,,"Mustafa Kemal, Dumlupınar Blv. No:274 B Blok Kat:15 D:167 (Mahall)",0312 466 22 77,817,5.0,MEGA LEAD (Çene Cer.),10.8,,,,,,
550,Çankaya-B Çukurambar/Balgat,Dr. Tolga Kodaz Diş Kliniği,,"Mustafa Kemal, Mahall Ankara, Dumlupınar Blv. 274-7/29 B Blok",0530 690 72 92,223,4.9,HOT LEAD,10.8,,,,,,
551,Çankaya-B Çukurambar/Balgat,Ortodonti Uzm. Dr. Sinem Bayram Tatar,,"Mustafa Kemal, Mahall Kule Ofis, Dumlupınar Blv. B Blok Kat:15 No:274",0312 466 22 77,172,5.0,UZMAN,10.8,,,,,,
552,Çankaya-B Çukurambar/Balgat,Dentius Klinik,,"Mustafa Kemal, Mahall Ankara, Dumlupınar Blv. 274/7 B Blok Kat:3 No:39",0530 086 78 76,318,4.9,HOT LEAD,10.9,,,,,,
553,Yenimahalle,Dt. Şeyma Arıkan,İnönü,1729. Cadde 4/10 D1 No:111,0536 557 94 92,71,5.0,Özel - Küçük (YENİ MAHALLE),7.1,,,,,,
554,Etimesgut,Dentşaşmaz ADSP,Bahçekapı (Şaşmaz),Sanayi Blv. Şaşmaz Business Plaza No:18,0312 281 40 47,49,5.0,Özel - Küçük,5.9,,,,,,
555,Yenimahalle,BatıKlinik ADSP (Protez Uzm.),Ergazi,Batı Bulvarı 109/B/F Nevadium,0555 142 75 84,55,4.7,Özel - Orta,4.4,,,,,,
556,Yenimahalle,Dr.Dt. Şule Yıldırım (Çocuk Diş),Ergazi,Batı Bulvarı Nevadium 109/B,0312 557 04 05,54,4.5,Özel - Uzman (Pedodonti),4.4,,,,,,
557,Yenimahalle,Dent Batıkent ADSP,Ergazi,Cengiz Aytmatov Cd Gala Batıkent 19P/C,0554 663 60 60,109,4.6,Özel - Orta,4.4,,,,,,
558,Yenimahalle,Dt. Ediz Cem Türk,Kentkoop,1820. Cd İkiz Kent 24/P,0552 449 00 77,178,4.9,Özel - Orta,3.8,,,,,,
559,Yenimahalle,Batıkent ADSP,Batı Sitesi,2333. Cd No:23/AA,0552 563 39 78,231,4.8,Özel - Büyük,3.6,,,,,,
560,Yenimahalle,Ortodonti Uzmanı Eda Bakır Köse,Batı Sitesi,2333. Cadde,0312 543 20 09,4,5.0,Özel - Uzman (Ortodonti),3.5,,,,,,
561,Yenimahalle,Ankara ADSP Batıkent (Arkent) ⭐,Kardelen,2026 Arı 85 Arkent 91 Sitesi 5,0312 255 64 64,533,4.6,Özel - Büyük,3.4,,,,,,
562,Yenimahalle,Denta Center Batıkent ⭐,Kardelen,2164. Cd No:39,0444 39 21,411,4.9,Özel - Büyük,3.7,,,,,,
563,Yenimahalle,DENTPARK ⭐,Turgut Özal/Batıkent,2191. Sk No:1,0551 256 17 21,289,4.6,Özel - Büyük,3.8,,,,,,
564,Yenimahalle,Dt. Ali Can Özen,Çakırlar,Batıkent Yolu 1949. Cd,0312 566 00 86,78,4.6,Özel - Küçük,3.8,,,,,,
565,Yenimahalle,Protez Uzmanı (Özlem Koç bağlı),Turgut Özal,1949. Cd (Özlem Koç bünyesi),-,2,5.0,Özel - Uzman (Protez),4.1,,,,,,
566,Yenimahalle,Özlem Koç Özel Diş Kliniği ⭐,Turgut Özal,Batıkent Blv 1949. Cd 26A/2,0312 566 16 15,221,4.8,Özel - Büyük,4.1,,,,,,
567,Yenimahalle,Dt. Gülnur Yıldırım,Turgut Özal,2164. Cd Yeşilkent Sitesi 2B,0312 999 67 71,52,4.8,Özel - Orta,3.8,,,,,,
568,Yenimahalle,Özel Çakırlar ADSP Batıkent ⭐,Kardelen,1940. Cd 16/F,0312 566 63 61,155,4.6,Özel - Büyük,2.7,,,,,,
569,Yenimahalle,Dr. Gözde Yalçın Çetin (Protetik) ⭐,Kardelen,Fatih Safitürk Blv 98/C,0501 048 51 45,104,5.0,Özel - Uzman (Protez),2.6,,,,,,
570,Yenimahalle,Masterline Clinic ADSP,Yeni Batı,Çakırlar Botanik Park 27/N,0312 566 24 44,78,4.9,Özel - Orta,2.3,,,,,,
571,Yenimahalle,Uzm. Dt. Demet Kaya Şengül,Turgut Özal/Çakırlar,Veysel Karani Blv Parkalı Hanımeli 8D/1,0850 811 9238,3,5.0,Özel - Küçük,2.4,,,,,,
572,Yenimahalle,Türkel Dent ADSP,Yeni Batı,Fatih Safitürk Blv 62/ED,0532 542 10 94,21,5.0,Özel - Küçük,1.8,,,,,,
573,Yenimahalle,Batıkent Meydan AVM Diş Kliniği,Kentkoop,Başkent Blv 255/41 Meydan AVM,0546 496 14 96,61,4.6,Özel - Orta,4.4,,,,,,
574,Yenimahalle,Uzm. Dt. Ceren Üçgül (Protez),Kentkoop,Batıkent Blv 255/41 Meydan AVM Kat:2,0546 496 14 96,0,0,Özel - Uzman (Protez),4.5,,,,,,
575,Yenimahalle,Dr.Dt. Emre Çakır (Ortodonti),Kentkoop,Başkent Blv 255/41 Meydan AVM,0546 496 14 96,48,4.3,Özel - Uzman (Ortodonti),4.5,,,,,,
576,Yenimahalle,Avadent (Alptekin Atik/Seda Arslan Atik),Kentkoop,1865. Sk 92 Sok Batıkent Yolu 3/2,0312 252 66 55,170,4.8,Özel - Orta,4.6,,,,,,
577,Yenimahalle,Dt. Cenk Şengör,Kentkoop,1865 Sk 7/3 Batıkent Metro Karşısı,0538 772 25 32,45,4.6,Özel - Küçük,4.5,,,,,,
578,Yenimahalle,Ankara ADSP Kentkoop,Kentkoop,1864. Cd,0312 252 00 00,17,4.7,Özel - Orta,4.6,,,,,,
579,Yenimahalle,HHDENT ADSP,Kentkoop,İlk Umut 90 Sitesi 1/E,0312 252 00 00,78,4.6,Özel - Orta,4.7,,,,,,
580,Yenimahalle,Dt. Zeynep Turgut Muayenehanesi,Kentkoop,1865. Cd Siyasal 93 Sitesi 15/9,0312 385 16 56,9,4.6,Özel - Küçük,4.4,,,,,,
581,Yenimahalle,Dt. Tuğçe Akbey Acar,İlkyerleşim,2016. Sk Pazar Kent 45/112,0501 017 10 01,33,5.0,Özel - Küçük,4.6,,,,,,
582,Yenimahalle,Dt. Ali Berke Cengiz,İlkyerleşim,2016. Sk Pazar Kent 45/111,0553 943 19 96,65,4.9,Özel - Küçük,4.6,,,,,,
583,Yenimahalle,Dt. Aysan Coşkun,Kentkoop,Yeni Emniyet Batıkent Yolu 3/4,0312 251 02 22,54,5.0,Özel - Küçük,5.3,,,,,,
584,Yenimahalle,Dt. Neslihan Altunkaya,Kentkoop,1851. Sk 2/10,0312 277 09 51,26,4.8,Özel - Küçük,5.3,,,,,,
585,Yenimahalle,Dental Clinic - Clinics Kent ⭐,İlkyerleşim,Başkent Blv Labirent 204/45,0850 305 3113,856,4.6,Özel - DEV,5.3,,,,,,
586,Yenimahalle,Dentist-Fatma Kaya,İlkyerleşim,Başkent Blv Labirent A2 Blok 204/13,0850 474 1821,12,4.7,Özel - Küçük,5.3,,,,,,
587,Yenimahalle,Dt. Eda Kara Özgiray,İlkyerleşim,Başkent Blv Labirent 204/63,0312 386 06 03,2,5.0,Özel - Küçük,5.3,,,,,,
588,Yenimahalle,Dt. Merve Yiğit Muayenehanesi,İlkyerleşim,Başkent Blv Labirent 204/70,0551 824 24 85,36,4.8,Özel - Küçük,5.3,,,,,,
589,Yenimahalle,Dr. Meral Tanrıseven,İlkyerleşim,Başkent Blv Güzelevler A15 No:2,0312 385 86 80,16,4.4,Özel - Küçük,5.5,,,,,,
590,Yenimahalle,Batıostim ADSP,İlkyerleşim,1908. Sk 1c,0552 658 00 02,75,4.7,Özel - Orta,5.9,,,,,,
591,Yenimahalle,Uzm. Dt. Fırat Aksun (Çene Cerrahı),Ostim,100. Yıl Blv Finans ve İş Merkezi 99/4,-,13,4.8,Özel - Uzman (Çene Cerrahi),6.8,,,,,,
592,Yenimahalle,Özel Dent Ostim ADSP ⭐,Ostim OSB,100. Yıl Blv OFİM İş Merkezi 99/4,0312 385 18 88,232,4.8,Özel - Büyük,6.9,,,,,,
593,Yenimahalle,Dentists Group Ostim ADSP ⭐,Ostim,100. Yıl Blv Sanayi Cd 55/A-8,0530 916 98 98,230,4.9,Özel - Büyük,6.9,,,,,,
594,Yenimahalle,Diş Hekimi Pınar Mutlu,Serhat,Serhat Cd My Elegance Meydan 50A/84,0850 474 4707,70,5.0,Özel - Orta,8.1,,,,,,
595,Yenimahalle,Serhat ADSP ⭐ 🆕,Serhat,1306. Cd 14/A,0552 295 83 43,147,4.6,Özel - Büyük,8.6,,,,,,
596,Yenimahalle,Özel Yahyalar ADSP,Yukarı Yahyalar,İvedik Cd 636,0552 712 77 20,42,4.3,Özel - Orta,9.5,,,,,,
597,Yenimahalle,Dt. Tugay Anık,Yukarı Yahyalar,959. Sk 2/4,0312 336 00 36,117,4.9,Özel - Orta,9.7,,,,,,
598,Yenimahalle,İvedik ADSP,Yukarı Yahyalar,İvedik Cd 460/B,0530 608 69 95,24,5.0,Özel - Küçük,9.7,,,,,,
599,Yenimahalle,Namedent Yenimahalle,Mehmet Akif Ersoy,Vatan Cd 101C,0555 110 29 36,99,4.6,Özel - Orta,9.4,,,,,,
600,Yenimahalle,s dent,Mehmet Akif Ersoy,Mehmet Akif Ersoy mh,-,11,4.3,Özel - Küçük,9.5,,,,,,
601,Yenimahalle,U Dental (Ercan Uysal),Mehmet Akif Ersoy,Vatan Cd 93/140 Bulvar Effect Ofis,0312 332 22 99,41,5.0,Özel - Küçük,9.5,,,,,,
602,Yenimahalle,Mega Avrupa ADSP 7/24 ⭐,Mehmet Akif Ersoy,Vatan Cd 93A,0501 319 60 06,1677,4.6,Özel - DEV (24h),9.6,,,,,,
603,Yenimahalle,"Osmanlı ADSH (DİKKAT: 2.5★, kalite şikayetleri)",Demetevler,Sami Efendi Cd 56,0312 325 36 36,853,2.5,Özel - DEV (Düşük puan),9.6,,,,,,
604,Yenimahalle,Demetevler Diş Kliniği (24h),Demetevler,Vatan Cd 81 1.kat,0501 122 04 02,15,5.0,Özel - 24 Saat,10,,,,,,
605,Yenimahalle,Diş Hekimi Şule Betül Ülker,Demetevler,Vatan Cd 84/1,0312 433 10 43,33,4.9,Özel - Küçük,10.1,,,,,,
606,Yenimahalle,Dt. Özge Yıldırım,Demetevler,Şht. Tugay Can Kızılırmak 20/1 Şirin Apt,0545 154 45 15,24,5.0,Özel - Küçük,10.1,,,,,,
607,Yenimahalle,Dt. Meryem Ülkü Göçmenoğlu,Demetevler,357. Cadde 10/6 Köksal Apt,0541 345 49 94,49,4.8,Özel - Küçük,10.2,,,,,,
608,Yenimahalle,Uzm. Dt. Orhan Gülen,Demetevler,404. Cd 10/A,0533 193 51 12,68,4.8,Özel - Orta,10.3,,,,,,
609,Yenimahalle,Demetevler - Uzm. Dt. Orhan Gülen,Demetevler,404. Cd. 10/A,0533 193 51 12,68,4.8,Özel - UZMAN,10.3,,,,,,
610,Yenimahalle,Dt. Şeyma Altuğ,Demetevler,357. Cd 925. Cd 5/3 Eski,0536 371 49 66,9,5.0,Özel - Küçük,10.2,,,,,,
